Number,Time,FRET,Error,Enzyme,Replicate,RNA
1,0,0.823923348,0,0,1,1.00E-07
2,0,0.804442569,0,0,1,1.00E-07
3,345.31,0.861184279,0,0,1,1.00E-07
4,345.31,0.840018394,0,0,1,1.00E-07
5,603.942,0.880367179,0,0,1,1.00E-07
6,603.942,0.866315211,0,0,1,1.00E-07
7,862.574,0.877228583,0,0,1,1.00E-07
8,862.574,0.849964454,0,0,1,1.00E-07
9,1121.206,0.911855799,0,0,1,1.00E-07
10,1121.206,0.905438599,0,0,1,1.00E-07
11,1379.838,0.898815337,0,0,1,1.00E-07
12,1379.838,0.858112691,0,0,1,1.00E-07
13,1638.47,0.934054387,0,0,1,1.00E-07
14,1638.47,0.907827078,0,0,1,1.00E-07
15,1897.102,0.908292464,0,0,1,1.00E-07
16,1897.102,0.881725532,0,0,1,1.00E-07
17,2155.734,1,0,0,1,1.00E-07
18,2155.734,0.974148751,0,0,1,1.00E-07
19,2414.366,0.99606222,0,0,1,1.00E-07
20,2414.366,0.988922789,0,0,1,1.00E-07
21,2672.998,0.95682963,0,0,1,1.00E-07
22,2672.998,0.975340536,0,0,1,1.00E-07
23,2931.63,0.918090163,0,0,1,1.00E-07
24,2931.63,0.873793431,0,0,1,1.00E-07
25,3190.262,0.844159812,0,0,1,1.00E-07
26,3190.262,0.877705008,0,0,1,1.00E-07
27,3448.894,0.838913129,0,0,1,1.00E-07
28,3448.894,0.786784882,0,0,1,1.00E-07
29,3707.526,0.840348209,0,0,1,1.00E-07
30,3707.526,0.862153888,0,0,1,1.00E-07
31,3966.158,0.781822451,0,0,1,1.00E-07
32,3966.158,0.745029311,0,0,1,1.00E-07
33,0,0.783951993,0,1.00E-06,1,1.00E-07
34,0,0.793452298,0,1.00E-06,1,1.00E-07
35,345.31,0.832100087,0,1.00E-06,1,1.00E-07
36,345.31,0.837163795,0,1.00E-06,1,1.00E-07
37,603.942,0.841370718,0,1.00E-06,1,1.00E-07
38,603.942,0.853699157,0,1.00E-06,1,1.00E-07
39,862.574,0.809255063,0,1.00E-06,1,1.00E-07
40,862.574,0.820951579,0,1.00E-06,1,1.00E-07
41,1121.206,0.828420325,0,1.00E-06,1,1.00E-07
42,1121.206,0.82471727,0,1.00E-06,1,1.00E-07
43,1379.838,0.750888651,0,1.00E-06,1,1.00E-07
44,1379.838,0.777150255,0,1.00E-06,1,1.00E-07
45,1638.47,0.735844409,0,1.00E-06,1,1.00E-07
46,1638.47,0.728911304,0,1.00E-06,1,1.00E-07
47,1897.102,0.633647327,0,1.00E-06,1,1.00E-07
48,1897.102,0.733184453,0,1.00E-06,1,1.00E-07
49,2155.734,0.622912021,0,1.00E-06,1,1.00E-07
50,2155.734,0.66088205,0,1.00E-06,1,1.00E-07
51,2414.366,0.585576825,0,1.00E-06,1,1.00E-07
52,2414.366,0.737206603,0,1.00E-06,1,1.00E-07
53,2672.998,0.43482804,0,1.00E-06,1,1.00E-07
54,2672.998,0.463758845,0,1.00E-06,1,1.00E-07
55,2931.63,0.348715085,0,1.00E-06,1,1.00E-07
56,2931.63,0.534629708,0,1.00E-06,1,1.00E-07
57,3190.262,0.30611256,0,1.00E-06,1,1.00E-07
58,3190.262,0.325984392,0,1.00E-06,1,1.00E-07
59,3448.894,0.258084026,0,1.00E-06,1,1.00E-07
60,3448.894,0.391267875,0,1.00E-06,1,1.00E-07
61,3707.526,0.259740583,0,1.00E-06,1,1.00E-07
62,3707.526,0.24691987,0,1.00E-06,1,1.00E-07
63,3966.158,0.210931073,0,1.00E-06,1,1.00E-07
64,3966.158,0.296615708,0,1.00E-06,1,1.00E-07
65,0,0.787579072,0,3.00E-06,1,1.00E-07
66,0,0.726129225,0,3.00E-06,1,1.00E-07
67,345.31,0.743124865,0,3.00E-06,1,1.00E-07
68,345.31,0.722969058,0,3.00E-06,1,1.00E-07
69,603.942,0.615927057,0,3.00E-06,1,1.00E-07
70,603.942,0.592626646,0,3.00E-06,1,1.00E-07
71,862.574,0.371427411,0,3.00E-06,1,1.00E-07
72,862.574,0.399658451,0,3.00E-06,1,1.00E-07
73,1121.206,0.246621598,0,3.00E-06,1,1.00E-07
74,1121.206,0.24694771,0,3.00E-06,1,1.00E-07
75,1379.838,0.155469668,0,3.00E-06,1,1.00E-07
76,1379.838,0.181199727,0,3.00E-06,1,1.00E-07
77,1638.47,0.130765541,0,3.00E-06,1,1.00E-07
78,1638.47,0.15961183,0,3.00E-06,1,1.00E-07
79,1897.102,0.123457122,0,3.00E-06,1,1.00E-07
80,1897.102,0.130885308,0,3.00E-06,1,1.00E-07
81,2155.734,0.164446664,0,3.00E-06,1,1.00E-07
82,2155.734,0.188957319,0,3.00E-06,1,1.00E-07
83,2414.366,0.173508401,0,3.00E-06,1,1.00E-07
84,2414.366,0.196835178,0,3.00E-06,1,1.00E-07
85,2672.998,0.145114768,0,3.00E-06,1,1.00E-07
86,2672.998,0.157030923,0,3.00E-06,1,1.00E-07
87,2931.63,0.114886629,0,3.00E-06,1,1.00E-07
88,2931.63,0.112911964,0,3.00E-06,1,1.00E-07
89,3190.262,0.121552498,0,3.00E-06,1,1.00E-07
90,3190.262,0.122096044,0,3.00E-06,1,1.00E-07
91,3448.894,0.119202774,0,3.00E-06,1,1.00E-07
92,3448.894,0.127042696,0,3.00E-06,1,1.00E-07
93,3707.526,0.134531897,0,3.00E-06,1,1.00E-07
94,3707.526,0.142357521,0,3.00E-06,1,1.00E-07
95,3966.158,0.118189337,0,3.00E-06,1,1.00E-07
96,3966.158,0.117114607,0,3.00E-06,1,1.00E-07
97,0,0.708985029,0,5.00E-06,1,1.00E-07
98,0,0.734498182,0,5.00E-06,1,1.00E-07
99,345.31,0.597128809,0,5.00E-06,1,1.00E-07
100,345.31,0.642190407,0,5.00E-06,1,1.00E-07
101,603.942,0.2957389,0,5.00E-06,1,1.00E-07
102,603.942,0.316687061,0,5.00E-06,1,1.00E-07
103,862.574,0.146195747,0,5.00E-06,1,1.00E-07
104,862.574,0.170023298,0,5.00E-06,1,1.00E-07
105,1121.206,0.132320946,0,5.00E-06,1,1.00E-07
